sampleplotid,x,y,measurementdate,g,d,h,v,v.ma,v.ku,v.lp,myear,filename.1,a.date.1,a.window.1,filename.2,a.date.2,a.window.2,v.lp.proc
907216,391489.35,6914247.14,2013,6,10.4,10.1,31.18,5.97,10.52,14.69,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4233D3.laz,2013-07-14,C,NA,NA,NA,47
907217,391743.3,6914245.71,2013,16.4,14.6,15.6,120.24,0,0,120.24,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4233D3.laz,2013-07-14,C,NA,NA,NA,100
907225,395538.7,6914249.71,2013,19.9,23.9,17.1,159.13,100.84,30.19,28.1,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4233F3.laz,2013-07-14,C,NA,NA,NA,18
907226,395795.17,6914243.44,2013,20.4,21.5,16.4,156.93,60.09,30.34,66.5,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4233F3.laz,2013-07-14,C,NA,NA,NA,42
907227,396033.34,6914256.54,2013,27.4,27.6,22.2,283.39,147.36,136.03,0,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4233F3.laz,2013-07-14,C,NA,NA,NA,0
907228,396290.06,6914252.45,2013,30.1,28.3,19.6,265.91,12.49,240.7,12.72,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4233F3.laz,2013-07-14,C,NA,NA,NA,5
907234,399596.46,6914012.42,2013,13,10.6,10.4,70.72,45.74,16.93,8.05,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4233H1.laz,2013-07-14,C,NA,NA,NA,11
907237,400341.21,6914254.02,2013,24.1,20.9,14.7,173.21,141.33,26.64,5.24,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4233H1.laz,2013-07-14,C,NA,NA,NA,3
907238,400602.26,6914251.16,2013,16.4,16.8,13,108.05,96.57,4.26,7.21,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4233H1.laz,2013-07-14,C,NA,NA,NA,7
907242,403884.15,6913494.72,2013,24.2,12.4,11.2,138.04,59.14,32.78,46.12,2013,/wrk/project_ogiir-csc/mml/laserkeilaus/2008_17_automaattinen/2013/20130113_BLOM_ahtari_block3_kesa/1/N4233H3.laz,2013-07-14,C,NA,NA,NA,33
